title,author,length
Dropsite Massacre,By: John French,Length: 11 hrs and 26 mins
The Path of Ascension 10,By: C. Mantis,Length: 24 hrs and 50 mins
The Villain,By: Natasha Knight,Length: 8 hrs and 10 mins
The Gathering of Clan McFee: Heathcliff Lennox,By: Karen Baugh MENUHIN,Length: 8 hrs and 21 mins
Scandalous,By: Kris Bryant,Length: 9 hrs and 14 mins
Dark Shaman: Love Found,By: I. T. Lucas,Length: 10 hrs and 21 mins
Raising Ready Minds,By: Emily Ashford,Length: 12 hrs and 15 mins
Holiday Unscripted,By: Natasha Madison,Length: 8 hrs and 57 mins
Sinful,By: K.G. Reuss,Length: 13 hrs and 35 mins
Both Feet in the Grave,By: Jeaniene Frost,Length: 10 hrs and 5 mins
Ground State,By: Craig Alanson,Length: 20 hrs and 33 mins
Exile,By: Steph Macca,Length: 9 hrs and 25 mins
Battle Hauler: Book 1,"By: Cassius Lange, Damien Hanson",Length: 13 hrs and 11 mins
Barcelona Travel Guide 2025/2026,By: Daniel Carter,Length: 3 hrs and 26 mins
Breakneck Hockey,By: S. Legend,Length: 11 hrs and 56 mins
Better Daddy,"By: Brittanee Nicole, Jenni Bara",Length: 9 hrs and 39 mins
Ritual of Ruin,By: Kel Kade,Length: 14 hrs and 51 mins
Kiss My Axe,By: May Archer,Length: 9 hrs and 25 mins
Brimstone,By: Callie Hart,Length: 24 hrs and 49 mins
The Perfect Nanny,By: D.L. Fisher,Length: 7 hrs and 20 mins
Whispers on Carolina Street,By: Lisa Marie Brewer,Length: 1 hr and 13 mins
X-Treme American Dungeon League 3,"By: Virgil Knightley, Edgar Riggs",Length: 11 hrs and 5 mins
The Heir,By: Sophia Travers,Length: 12 hrs and 56 mins
Haunting the Hunter,By: Hanna Harp,Length: 8 hrs and 20 mins
Affiliate Marketing for Beginners,By: Maddox Crewlyn,Length: 3 hrs and 57 mins
The Girl Who Disappeared,By: A.J. Rivers,Length: 7 hrs and 41 mins
The Strength of the Few,By: James Islington,Length: Not Yet Known
Survival in Another World with My Mistress! (Light Novel) Vol. 8,By: Ryuto,Length: 9 hrs and 3 mins
The Snail Who Carried a Nighttime Song,By: Oliver Hushglen,Length: 11 hrs and 25 mins
"Reincarnated as a Sword, Vol. 15",By: Yuu Tanaka,Length: 10 hrs and 8 mins
The Indoor Mushroom Maker,By: Mr Sohail,Length: 1 hr and 8 mins
Secret Haven,By: Catherine Cowles,Length: 12 hrs
Heavens Reflected,By: Daniel Schinhofen,Length: 12 hrs and 15 mins
The Frathole,By: Devon McCormack,Length: 7 hrs and 34 mins
Entwined,By: Rebecca Quinn,Length: 29 hrs and 51 mins
The Boutan Caliphate,"By: Always RollsAOne, Erick Thiemke",Length: 21 hrs
Weight Loss Hypnosis Deep Sleep Reprogramming,By: Jules Bardin,Length: 10 hrs and 1 min
Dream Lanterns,By: Evelyn Starlingwood,Length: 11 hrs and 7 mins
The Language of Emotions,By: Natalie Hayes,Length: 10 hrs and 27 mins
The Balcony Harvest,By: Mr Sohail,Length: 1 hr and 7 mins
Savage Awakening 6: A LitRPG Apocalypse Adventure,By: Adastra339,Length: 15 hrs and 42 mins
The Owl Who Wrote Dreams in the Sky,By: Isabella Dreamlight,Length: 9 hrs and 55 mins
The Pillow Boat and the Sea of Lullabies,By: Charlotte Glowvale,Length: 11 hrs and 22 mins
The Rainbow Lanterns of Sleepy Hollow Hill,By: Sophie Nightfern,Length: 11 hrs and 49 mins
The Sleepy Garden of Cotton Clouds,By: Marcus Starfern,Length: 10 hrs and 57 mins
Love and Revolution,By: Jay Trott,Length: 12 hrs and 47 mins
Bottle Rocket,By: Kenna King,Length: 9 hrs and 38 mins
Ultima Thule,By: James E. Wisher,Length: 5 hrs and 11 mins
Quit Drinking Alcohol Hypnosis: 2-in-1 Affirmations,By: Carter Webb,Length: 10 hrs and 14 mins
The Unselected Journals of Emma M. Lion: Vol. 8,By: Beth Brower,Length: 12 hrs and 18 mins
Unbreakable Mind,By: Malcolm J. Everstone,Length: 11 hrs and 37 mins
Sunshine & Sinful,By: Bink Cummings,Length: 9 hrs and 14 mins
Stanton Adore,By: T L Swan,Length: 15 hrs and 39 mins
What a Gentle Woman Will Do,By: Jennifer Jackson,Length: 1 hr and 26 mins
Dungeon Noble 2: Knight,By: J. Parsons,Length: 20 hrs
The Defender,By: Ana Huang,Length: 12 hrs and 58 mins
Fated Antagonist,By: RinoZ,Length: 20 hrs and 21 mins
You're Next,By: Tate James,Length: 10 hrs and 30 mins
The Key Note,By: Clara Louise Burnham,Length: 8 hrs and 11 mins
Throne of Ice and Blood,By: Marion Blackwood,Length: 12 hrs and 2 mins
Rise of the Living Forge 4,By: Actus,Length: 20 hrs and 31 mins
Water Flower,By: Greg Tolley,Length: 14 hrs and 47 mins
Warlock: Book Three,By: Daniel Kensington,Length: 16 hrs and 6 mins
Nightmare Realm Summoner,By: Actus,Length: 26 hrs and 22 mins
The Fabrication Game,By: Colton R. Merriweather,Length: 11 hrs and 29 mins
The ABC Murders,"By: Agatha Christie, Anna Lea",Length: 4 hrs and 44 mins
The Visitor,By: Jay Trott,Length: 7 hrs and 17 mins
Catching the Sky,By: Mr Jonathan David,Length: 1 hr and 7 mins
The Best Wild Idea,By: Lily Parker,Length: 10 hrs and 1 min
The Forgotten Five,By: Anka B. Troitsky,Length: 2 hrs and 49 mins
Against Ruin's Fate,By: Michael Chatfield,Length: 15 hrs and 43 mins
How to Make Money Online,By: Grady V. Mark,Length: 4 hrs
HUSH,By: M.D. Selig,Length: 22 hrs and 2 mins
Devil's Claim,By: Piper Stone,Length: 10 hrs and 30 mins
Entrepreneur Productivity Blueprint,By: Cori Gauff,Length: 3 hrs and 1 min
The Marked Daughter,"By: L.T. Ryan, K.M. Rought",Length: 7 hrs and 9 mins
Bedtime Stories,By: Silas Everhart,Length: 11 hrs and 18 mins
Delivering the Wow,By: Richard Fain,Length: 6 hrs and 48 mins
Magical Midlife Rescue,By: K.F. Breene,Length: 8 hrs and 28 mins
Hex Around and Find Out,By: Molly Harper,Length: 9 hrs and 33 mins
The Moon Who Wanted a Friend,By: Evelyn Brightwood,Length: 10 hrs and 11 mins
The Sleepy Storybook,By: Enid Bluton,Length: 10 hrs and 55 mins
Magus Reborn 3,"By: Extra26, T.C. Liyanage",Length: 27 hrs and 38 mins
Pretty Mess,By: Lily Morton,Length: 13 hrs and 38 mins
Summer at Tillingford Hall,By: Flora Dunn,Length: 9 hrs and 9 mins
Anger Management Formula,By: Louise Hum,Length: 3 hrs and 55 mins
